dataset,column,row_index,value,is_outlier,severity,iqr_outlier,robust_z_outlier,criteria_count,q1,q3,iqr,iqr_lower_fence,iqr_upper_fence,distance_beyond_iqr_fence,distance_in_iqr_units,robust_z
reservas,people,1234,9,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,2.0,1.0,4.047
reservas,people,1254,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1272,9,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,2.0,1.0,4.047
reservas,people,1274,11,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,4.0,2.0,5.396
reservas,people,1281,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1292,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1332,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1350,14,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,7.0,3.5,7.4195
reservas,people,1359,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1360,16,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,9.0,4.5,8.7685
reservas,people,1361,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1395,12,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,5.0,2.5,6.0705
reservas,people,1405,10,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,3.0,1.5,4.7215
reservas,people,1434,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1445,9,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,2.0,1.0,4.047
reservas,people,1472,9,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,2.0,1.0,4.047
reservas,people,1492,10,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,3.0,1.5,4.7215
reservas,people,1513,9,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,2.0,1.0,4.047
reservas,people,1547,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1563,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1575,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1589,14,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,7.0,3.5,7.4195
reservas,people,1642,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1666,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1699,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1700,9,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,2.0,1.0,4.047
reservas,people,1714,9,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,2.0,1.0,4.047
reservas,people,1717,12,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,5.0,2.5,6.0705
reservas,people,1725,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1767,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1788,9,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,2.0,1.0,4.047
reservas,people,1808,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1824,12,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,5.0,2.5,6.0705
reservas,people,1842,10,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,3.0,1.5,4.7215
reservas,people,1845,9,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,2.0,1.0,4.047
reservas,people,1885,9,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,2.0,1.0,4.047
reservas,people,1890,12,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,5.0,2.5,6.0705
reservas,people,1908,12,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,5.0,2.5,6.0705
reservas,people,1914,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1926,11,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,4.0,2.0,5.396
reservas,people,1956,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
reservas,people,1972,13,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,6.0,3.0,6.745
reservas,people,1975,10,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,3.0,1.5,4.7215
reservas,people,1982,10,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,3.0,1.5,4.7215
reservas,people,1985,12,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,5.0,2.5,6.0705
reservas,people,1996,9,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,2.0,1.0,4.047
reservas,people,2001,16,True,strong,True,True,2,2.0,4.0,2.0,-1.0,7.0,9.0,4.5,8.7685
reservas,people,2014,8,True,candidate,True,False,1,2.0,4.0,2.0,-1.0,7.0,1.0,0.5,3.3725
