dataset,column,row_index,value,is_outlier,severity,iqr_outlier,robust_z_outlier,criteria_count,q1,q3,iqr,iqr_lower_fence,iqr_upper_fence,distance_beyond_iqr_fence,distance_in_iqr_units,robust_z
ventas,units,1518,96.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,51.5,3.0294117647058822,9.892666666666667
ventas,units,1548,100.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,55.5,3.264705882352941,10.342333333333334
ventas,units,1571,372.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,327.5,19.264705882352942,40.919666666666664
ventas,units,1574,78.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,33.5,1.9705882352941178,7.869166666666666
ventas,units,1581,49.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,4.5,0.2647058823529412,4.609083333333333
ventas,units,1584,72.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,27.5,1.6176470588235294,7.1946666666666665
ventas,units,1587,72.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,27.5,1.6176470588235294,7.1946666666666665
ventas,units,1594,45.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,0.5,0.029411764705882353,4.159416666666666
ventas,units,1630,41.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.7097499999999997
ventas,units,1637,58.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,13.5,0.7941176470588235,5.620833333333334
ventas,units,1639,137.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,92.5,5.4411764705882355,14.50175
ventas,units,1640,84.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,39.5,2.323529411764706,8.543666666666667
ventas,units,1668,41.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.7097499999999997
ventas,units,1678,134.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,89.5,5.264705882352941,14.164499999999999
ventas,units,1691,45.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,0.5,0.029411764705882353,4.159416666666666
ventas,units,1702,368.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,323.5,19.029411764705884,40.47
ventas,units,1703,71.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,26.5,1.5588235294117647,7.082249999999999
ventas,units,1706,54.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,9.5,0.5588235294117647,5.171166666666667
ventas,units,1714,50.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,5.5,0.3235294117647059,4.7215
ventas,units,1717,90.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,45.5,2.676470588235294,9.218166666666667
ventas,units,1726,80.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,35.5,2.088235294117647,8.094
ventas,units,1763,41.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.7097499999999997
ventas,units,1764,44.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,4.047
ventas,units,1768,78.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,33.5,1.9705882352941178,7.869166666666666
ventas,units,1770,111.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,66.5,3.911764705882353,11.578916666666666
ventas,units,1798,44.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,4.047
ventas,units,1812,115.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,70.5,4.147058823529412,12.028583333333332
ventas,units,1825,48.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,3.5,0.20588235294117646,4.496666666666667
ventas,units,1833,59.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,14.5,0.8529411764705882,5.733249999999999
ventas,units,1835,422.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,377.5,22.205882352941178,46.5405
ventas,units,1838,98.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,53.5,3.1470588235294117,10.1175
ventas,units,1849,64.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,19.5,1.1470588235294117,6.295333333333333
ventas,units,1852,60.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,15.5,0.9117647058823529,5.845666666666666
ventas,units,1854,40.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.5973333333333333
ventas,units,1860,50.0,True,strong,True,True,2,2.0,19.0,17.0,-23.5,44.5,5.5,0.3235294117647059,4.7215
ventas,units,1898,41.0,True,candidate,False,True,1,2.0,19.0,17.0,-23.5,44.5,0.0,0.0,3.7097499999999997
