dataset,column,row_index,value,is_outlier,severity,iqr_outlier,robust_z_outlier,criteria_count,q1,q3,iqr,iqr_lower_fence,iqr_upper_fence,distance_beyond_iqr_fence,distance_in_iqr_units,robust_z
total_articles,units,239,3128.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,2133.75,5.422490470139771,38.37155555555555
total_articles,units,240,1090.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,95.75,0.24332909783989834,12.915425925925925
total_articles,units,248,1892.0,True,strong,True,True,2,10.5,404.0,393.5,-579.75,994.25,897.75,2.281448538754765,22.933
total_articles,amount,0,5425.5999,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,7.638031921301386
total_articles,amount,1,4322.72609,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,5.9403602557058885
total_articles,amount,2,7668.00162,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,1015.1255074999999,0.38702738811072396,11.089797507181611
total_articles,amount,5,6016.3630299999995,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,8.547403254436505
total_articles,amount,6,5988.18215,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,8.504023965660442
total_articles,amount,7,12612.764850000001,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,5959.888737500001,2.2722709206527805,18.701352294804572
total_articles,amount,8,6638.54556,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,9.505138983068525
total_articles,amount,9,3158.91,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,4.148879143322651
total_articles,amount,10,4024.3647600000004,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,5.481087788214447
total_articles,amount,11,2831.90793,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,3.6455195170476604
total_articles,amount,12,3368.45484,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,4.471434937389192
total_articles,amount,13,3807.5094599999998,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,5.147278883690536
total_articles,amount,15,7606.36272,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,953.4866075,0.36352690241041946,10.994915741852111
total_articles,amount,16,9275.635409999999,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,2622.759297499999,0.9999548558822338,13.564454452690999
total_articles,amount,17,9236.77338,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,2583.8972675000005,0.985138293933533,13.504633495297407
total_articles,amount,18,17630.90838,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,10978.0322675,4.185491472428373,26.425862576513378
total_articles,amount,19,15047.945419999998,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,8395.069307499998,3.2007093931586867,22.449865512556734
total_articles,amount,20,12868.09151,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,6215.2153975,2.3696169232945614,19.094380792011457
total_articles,amount,21,2849.45432,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,3.6725289617061456
total_articles,amount,22,6070.909250000001,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,8.631367141618975
total_articles,amount,23,5830.453590000001,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,8.261229817554616
total_articles,amount,24,6479.499699999999,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,9.260317093561266
total_articles,amount,25,8522.27194,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,1869.3958275000005,0.7127270264779656,12.404789760940181
total_articles,amount,28,7069.08895,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,416.2128375000002,0.15868556765211447,10.167881454042998
total_articles,amount,30,18541.083430000002,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,11888.207317500002,4.5325053832427935,27.826909894081805
total_articles,amount,31,6879.100450000001,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,226.22433750000073,0.08625043289999704,9.875429053492304
total_articles,amount,34,3861.81794,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,5.230876813808724
total_articles,amount,39,3687.7748599999995,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,4.962969458651772
total_articles,amount,47,5609.54774,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,7.921185835270468
total_articles,amount,48,4478.72941,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,6.180498713706653
total_articles,amount,56,7404.81279,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,751.9366774999999,0.2866838496002237,10.684666643304965
total_articles,amount,58,3878.42125,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,5.25643456002277
total_articles,amount,59,23132.52008,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,16479.6439675,6.283039402136365,34.89458330730911
total_articles,amount,60,5907.1979599999995,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,8.379363679526527
total_articles,amount,125,3303.36246,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,4.371237173900571
total_articles,amount,140,4751.76199,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,6.600782222706141
total_articles,amount,142,5448.616580000001,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,7.673461872686377
total_articles,amount,150,5051.45649,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,7.062106860549169
total_articles,amount,173,6909.09213,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,256.2160174999999,0.09768507964041728,9.921595736278622
total_articles,amount,174,4712.7348999999995,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,6.540707185759126
total_articles,amount,175,9409.41145,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,2756.5353374999995,1.0509583928542332,13.770378095617628
total_articles,amount,178,7324.0886199999995,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,671.2125074999994,0.25590690188126763,10.56040661020316
total_articles,amount,190,7254.54605,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,601.6699374999998,0.22939305799619805,10.453358596576203
total_articles,amount,191,9983.63441,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,3330.7582975000005,1.2698869989822879,14.654288874971776
total_articles,amount,193,6158.63483,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,8.76640455946638
total_articles,amount,194,6446.74602,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,9.209898819071656
total_articles,amount,197,11827.27245,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,5174.3963375,1.9727935952316924,17.492231016441266
total_articles,amount,199,4481.36338,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,6.184553226740222
total_articles,amount,203,7001.0531900000005,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,348.17707750000045,0.1327462110933611,10.06315289765516
total_articles,amount,208,3128.1814799999997,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,4.101578230691781
total_articles,amount,211,2756.8182500000003,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,3.5299327464137358
total_articles,amount,217,25064.183250000002,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,18411.3071375,7.019506514696613,37.86802396883265
total_articles,amount,218,26110.04536,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,19457.1692475,7.418252559167643,39.477936593620534
total_articles,amount,221,4072.58132,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,5.5553083263959495
total_articles,amount,229,3716.81522,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,5.007671759027092
total_articles,amount,234,6613.45818,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,9.466521569359127
total_articles,amount,235,14722.79983,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,8069.9237175,3.0767441814447847,21.949363596261954
total_articles,amount,236,4053.5260200000002,True,candidate,False,True,1,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,0.0,0.0,5.525976191934056
total_articles,amount,237,7152.81738,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,499.9412675000003,0.19060792142422833,10.296765993622188
total_articles,amount,239,15478.50136,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,8825.6252475,3.364863421072086,23.112627301951154
total_articles,amount,240,6736.32825,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,83.45213749999948,0.0318170143201547,9.655657474570928
total_articles,amount,248,34940.90932,True,strong,True,True,2,95.68185,2718.559555,2622.877705,-3838.6347075,6652.8761125,28288.033207499997,10.785113295055439,53.071429694721964
