fold,model,period_index,n_rows,n_evaluated,prediction_coverage,MAE,RMSE,WAPE,Bias,actual_total,predicted_total,Top_20_overlap_observed_panel
4,Naive lag 1,32,142,142,1.0,5.816901408450704,8.081451549995805,0.29105003523608175,0.016913319238900635,2838.0,2886.0,0.85
4,Naive lag 1,33,129,129,1.0,7.6976744186046515,12.638994661226487,0.38608087091757387,0.12247278382581649,2572.0,2887.0,0.95
4,Rolling mean 4,30,136,136,1.0,5.200980392156862,8.633449967037125,0.25452800767662226,-0.09973611610891209,2779.0,2501.833333333333,0.9
4,Rolling mean 4,31,140,140,1.0,4.400595238095239,6.533267279792428,0.2228955619874578,-0.006120356970574049,2764.0,2747.0833333333335,0.9
4,Rolling mean 4,32,142,142,1.0,4.62793427230047,6.691627274949977,0.2315597838853653,-0.019203664552501765,2838.0,2783.5,0.85
4,Rolling mean 4,33,129,129,1.0,7.103359173126615,12.14735999575605,0.3562726801451529,0.09421980300673925,2572.0,2814.333333333333,0.85
4,Historical expanding mean,30,136,136,1.0,5.280304274348969,9.774696841125168,0.2584099968735012,-0.13983065736610215,2779.0,2390.4106031796023,0.8
4,Historical expanding mean,31,140,140,1.0,5.01891487102839,9.422865929799324,0.2542142119913077,-0.12510487184065827,2764.0,2418.2101342324204,0.9
4,Historical expanding mean,32,142,142,1.0,4.770664944301787,9.096992378319843,0.23870134675505772,-0.14201018817469685,2838.0,2434.9750859602104,0.85
4,Historical expanding mean,33,129,129,1.0,6.031141729033781,11.799203881573677,0.30249505561639106,-0.058859415464163505,2572.0,2420.6135834261713,0.8
