fold,model,regime,n_rows,n_evaluated,prediction_coverage,MAE,RMSE,WAPE,Bias,actual_total,predicted_total,Top_20_overlap_observed_panel
2,Rolling mean 4,sparse,12,12,1.0,3.0833333333333335,4.0722639076235385,2.176470588235294,2.0588235294117645,17.0,52.0,1.0
2,Historical expanding mean,cold_start,16,16,1.0,1.0625,2.16105041331499,0.6538461538461539,0.06410256410256411,26.0,27.666666666666664,1.0
2,Historical expanding mean,frequent,412,412,1.0,6.192783559353121,11.384137884538141,0.27334763514607735,-0.019226042611240498,9334.0,9154.54411826668,0.8250000000000001
2,Historical expanding mean,intermittent,62,62,1.0,3.292300889075083,8.64415005437728,1.4077424491217596,0.8887371249440215,145.0,273.8668831168832,1.0
2,Historical expanding mean,regular,47,47,1.0,1.1302248005783675,1.6878055645519778,0.5107746694921468,0.022681140660495844,104.0,106.35883862869159,1.0
2,Historical expanding mean,sparse,12,12,1.0,0.5277777777777778,0.8706372719216995,0.37254901960784315,0.3019607843137255,17.0,22.133333333333333,1.0
3,Naive lag 1,cold_start,39,39,1.0,4.0256410256410255,4.774397532136573,1.0397350993377483,0.7218543046357616,151.0,260.0,1.0
3,Naive lag 1,frequent,393,393,1.0,8.307888040712468,13.661017885546128,0.3444456166262264,-0.07753982487604177,9479.0,8744.0,0.75
3,Naive lag 1,intermittent,40,40,1.0,4.25,4.78539444560216,1.9540229885057472,1.5402298850574712,87.0,221.0,1.0
3,Naive lag 1,regular,54,54,1.0,2.314814814814815,3.200115738647704,0.8445945945945946,0.42567567567567566,148.0,211.0,1.0
3,Naive lag 1,sparse,26,26,1.0,6.653846153846154,13.104608701932662,1.2627737226277371,0.2116788321167883,137.0,166.0,1.0
3,Rolling mean 4,cold_start,39,39,1.0,3.7350427350427347,4.543082779303184,0.9646799116997792,0.5673289183222959,151.0,236.66666666666663,1.0
3,Rolling mean 4,frequent,393,393,1.0,7.338846480067854,12.722491209826433,0.3042690860498646,-0.05575482645848717,9479.0,8950.5,0.8125
3,Rolling mean 4,intermittent,40,40,1.0,2.11875,3.102670220954847,0.9741379310344828,0.45689655172413796,87.0,126.75,1.0
3,Rolling mean 4,regular,54,54,1.0,1.4768518518518516,2.110897893716196,0.5388513513513512,-0.10078828828828827,148.0,133.08333333333331,1.0
3,Rolling mean 4,sparse,26,26,1.0,4.865384615384615,13.580914524296194,0.9233576642335767,-0.28102189781021897,137.0,98.5,1.0
3,Historical expanding mean,cold_start,39,39,1.0,2.905982905982906,4.550914876244799,0.7505518763796909,0.2803532008830022,151.0,193.33333333333331,1.0
3,Historical expanding mean,frequent,393,393,1.0,6.8840945256398225,11.330922296175553,0.2854150383559922,-0.046388283393146816,9479.0,9039.285461716361,0.7874999999999999
3,Historical expanding mean,intermittent,40,40,1.0,1.626458125208125,4.474459968610489,0.7477968391761494,0.3051674379260586,87.0,113.5495670995671,1.0
3,Historical expanding mean,regular,54,54,1.0,1.2225188629707897,1.9930753370778993,0.44605417973258543,-0.1548653781916166,148.0,125.07992402764073,1.0
3,Historical expanding mean,sparse,26,26,1.0,3.474358974358975,11.6873134005612,0.659367396593674,-0.2639902676399027,137.0,100.83333333333333,1.0
4,Naive lag 1,cold_start,13,13,1.0,5.923076923076923,6.4390634770545985,2.40625,2.03125,32.0,97.0,1.0
4,Naive lag 1,frequent,394,394,1.0,7.213197969543147,10.553706015419346,0.2711314634611715,0.020225147872543408,10482.0,10694.0,0.8875
4,Naive lag 1,intermittent,55,55,1.0,3.709090909090909,4.66709954702256,1.632,1.36,125.0,295.0,1.0
4,Naive lag 1,regular,54,54,1.0,3.425925925925926,4.632813719864307,1.0946745562130178,0.5502958579881657,169.0,262.0,1.0
4,Naive lag 1,sparse,31,31,1.0,4.451612903225806,5.297595315709974,0.9517241379310345,0.5793103448275863,145.0,229.0,1.0
4,Rolling mean 4,cold_start,13,13,1.0,5.0,5.916079783099616,2.03125,1.59375,32.0,83.0,1.0
4,Rolling mean 4,frequent,394,394,1.0,6.492597292724197,10.060661854404737,0.2440453475799784,-0.02315874833047128,10482.0,10239.25,0.875
4,Rolling mean 4,intermittent,55,55,1.0,1.9984848484848483,3.168639736192453,0.8793333333333333,0.6086666666666666,125.0,201.08333333333331,1.0
4,Rolling mean 4,regular,54,54,1.0,1.7222222222222219,2.4499622068135696,0.5502958579881656,-0.07199211045364891,169.0,156.83333333333334,1.0
4,Rolling mean 4,sparse,31,31,1.0,2.2876344086021505,3.086601000253681,0.489080459770115,0.14885057471264368,145.0,166.58333333333334,1.0
4,Historical expanding mean,cold_start,13,13,1.0,2.717948717948718,4.2862331798205835,1.1041666666666667,0.6145833333333334,32.0,51.66666666666667,1.0
4,Historical expanding mean,frequent,394,394,1.0,6.649561563081815,11.713883933829733,0.24994535926867345,-0.12412276527753435,10482.0,9180.945174360884,0.8375000000000001
4,Historical expanding mean,intermittent,55,55,1.0,1.0789533194078647,1.530777592312185,0.4747394605394604,0.12465967365967366,125.0,140.5824592074592,1.0
4,Historical expanding mean,regular,54,54,1.0,1.9028713221953677,3.0116766730937554,0.608018055612721,-0.1824197695600825,169.0,138.17105894434607,1.0
4,Historical expanding mean,sparse,31,31,1.0,1.898809523809524,2.63521720106777,0.40595238095238095,0.0540968801313629,145.0,152.84404761904761,1.0
