fold,model,model_family,regime,n_rows,n_evaluated,prediction_coverage,MAE,RMSE,WAPE,Bias,actual_total,predicted_total,Top_20_overlap_observed_panel
3,Random Forest,random_forest,cold_start,39,39,1.0,2.2329663046507,3.464913097549524,0.5767263965654126,-0.05731453018790095,151.0,142.34550594162693,1.0
3,Random Forest,random_forest,frequent,393,393,1.0,6.929082191706736,11.78514653728181,0.28728023012350956,-0.02808720603444945,9479.0,9212.761373999454,0.8
3,Random Forest,random_forest,intermittent,40,40,1.0,1.6817076232657164,2.6791880563027433,0.7731989072486053,0.38777818440228695,87.0,120.73670204299896,1.0
3,Random Forest,random_forest,regular,54,54,1.0,1.6672145414779553,2.1670169587543344,0.6083080083770919,0.11956604242809933,148.0,165.69577427935872,1.0
3,Random Forest,random_forest,sparse,26,26,1.0,3.799450827517191,12.05206975940006,0.7210636606966931,-0.24425154747946445,137.0,103.53753799531339,1.0
4,HistGradientBoosting Poisson,hist_gradient_boosting,cold_start,13,13,1.0,2.513634950026066,4.746271477412398,1.0211641984480893,0.2770009446533487,32.0,40.864030228907154,1.0
4,HistGradientBoosting Poisson,hist_gradient_boosting,frequent,394,394,1.0,6.502101941363922,11.093094495021784,0.24440261065611385,-0.11679851841205643,10482.0,9257.717930004825,0.8625
4,HistGradientBoosting Poisson,hist_gradient_boosting,intermittent,55,55,1.0,0.9739077835402024,1.2906469318898068,0.428519424757689,-0.012845131414524374,125.0,123.39435857318448,1.0
4,HistGradientBoosting Poisson,hist_gradient_boosting,regular,54,54,1.0,1.7119981912871245,2.8183774399136774,0.5470290078668919,-0.1715481756084195,169.0,140.00835832217714,1.0
4,HistGradientBoosting Poisson,hist_gradient_boosting,sparse,31,31,1.0,2.5532426240309176,3.6906034874392795,0.5458656644479893,0.2269805963440895,145.0,177.91218646989304,1.0
4,Random Forest,random_forest,cold_start,13,13,1.0,2.7158107716833686,3.986227211303517,1.1032981259963686,0.4379194214031893,32.0,46.013421484902054,1.0
4,Random Forest,random_forest,frequent,394,394,1.0,6.265126491517171,10.883056753038813,0.23549511902859813,-0.04095497721333713,10482.0,10052.709928849801,0.875
4,Random Forest,random_forest,intermittent,55,55,1.0,1.2234123888101673,1.446496977177404,0.5383014510764736,0.27926391916305937,125.0,159.9079898953824,1.0
4,Random Forest,random_forest,regular,54,54,1.0,1.8676230376993683,2.564282332026146,0.5967552901524609,0.06695168987023888,169.0,180.31483558807034,1.0
4,Random Forest,random_forest,sparse,31,31,1.0,2.2121362259924577,2.7516843647125437,0.4729394690052841,0.21309018342180538,145.0,175.8980765961618,1.0
